id,key,value,type
137157097,highway,turning_circle,regular
137157107,source,Bing,regular
137157107,highway,turning_circle,regular
137158654,highway,turning_circle,regular
137161577,barrier,lift_gate,regular
137163243,railway,level_crossing,regular
137164379,highway,turning_circle,regular
137164379,source,Bing,regular
137165223,noexit,yes,regular
137165536,highway,traffic_signals,regular
137165747,power,tower,regular
137165749,power,tower,regular
137165750,power,tower,regular
137165754,power,tower,regular
137165760,power,tower,regular
137165762,power,tower,regular
137165766,power,tower,regular
137165768,power,tower,regular
137165770,power,tower,regular
137165772,power,tower,regular
137166013,highway,turning_circle,regular
137166780,power,tower,regular
137166783,power,tower,regular
137166785,power,tower,regular
137166787,power,tower,regular
137166792,power,tower,regular
137167065,ref,80,regular
137167065,highway,motorway_junction,regular
137167455,highway,turning_circle,regular
137167455,source,Bing,regular
137167732,highway,turning_circle,regular
137170562,highway,turning_circle,regular
137171543,power,tower,regular
137171545,power,tower,regular
137172837,power,tower,regular
137174467,highway,turning_circle,regular
137175765,ref,69,regular
137175765,highway,motorway_junction,regular
137176754,highway,turning_circle,regular
137176794,highway,turning_circle,regular
137180237,ref,12,regular
137180237,highway,motorway_junction,regular
137183871,ref,54,regular
137183871,exit_to,Speedway Boulevard;Hollywood Boulevard,regular
137183871,highway,motorway_junction,regular
137184047,source,Bing,regular
137184047,highway,turning_circle,regular
137184060,source,Bing,regular
137184060,highway,turning_circle,regular
137184746,highway,crossing,regular
137186040,ref,84,regular
137186040,highway,motorway_junction,regular
137186152,highway,turning_circle,regular
137186263,source,Bing,regular
137186263,highway,traffic_signals,regular
137186277,highway,turning_circle,regular
137186313,highway,turning_circle,regular
137188049,ref,25,regular
137188049,exit_to,Sloan Road,regular
137188049,highway,motorway_junction,regular
137189309,source,Bing,regular
137189309,highway,traffic_signals,regular
137189309,direction,forward,traffic_signals
137189353,highway,motorway_junction,regular
137189353,left,Tropicana Avenue East;University of Nevada Las vegas,exit_to
137189353,right,Tropicana Avenue West,exit_to
137189368,ref,40,regular
137189368,highway,motorway_junction,regular
137189658,highway,traffic_signals,regular
137189699,highway,traffic_signals,regular
137189699,traffic_signals,signal,regular
137190489,highway,turning_circle,regular
137192000,source,Bing,regular
137192000,highway,turning_circle,regular
137193645,ref,9,regular
137193645,highway,motorway_junction,regular
137193645,old_ref,7,regular
137194688,highway,turning_circle,regular
137194898,highway,turning_circle,regular
137197214,highway,traffic_signals,regular
137197880,name,Rocky Gap 4x4,regular
137197880,surface,unpaved,regular
137199663,highway,motorway_junction,regular
137200520,barrier,gate,regular
137201003,source,Bing,regular
137201003,highway,turning_circle,regular
137202420,highway,traffic_signals,regular
137202420,traffic_signals,signal,regular
137202448,ref,82,regular
137202448,highway,motorway_junction,regular
137202962,power,tower,regular
137204328,source,Bing,regular
137204328,highway,turning_circle,regular
137205822,highway,crossing,regular
137207183,source,Bing,regular
137207183,highway,turning_circle,regular
137208674,ref,36,regular
137208674,highway,motorway_junction,regular
137209450,source,Bing,regular
137209450,highway,turning_circle,regular
137209461,source,Bing,regular
137209461,highway,turning_circle,regular
137209471,source,Bing,regular
137209471,highway,turning_circle,regular
137210231,ref,21,regular
137210231,highway,motorway_junction,regular
137210553,power,portal,regular
137210556,power,tower,regular
137210559,power,portal,regular
137210562,power,portal,regular
137210565,power,tower,regular
137210568,power,tower,regular
137210570,power,tower,regular
137210736,ref,41,regular
137210736,exit_to,NV-159;Charleston Blvd,regular
137210736,highway,motorway_junction,regular
137212537,ref,76A,regular
137212537,highway,motorway_junction,regular
137212843,source,Bing,regular
137212843,highway,turning_circle,regular
137212865,source,Bing,regular
137212865,highway,turning_circle,regular
137212874,source,Bing,regular
137212874,highway,turning_circle,regular
137212887,source,Bing,regular
137212887,highway,turning_circle,regular
137212896,ref,45,regular
137212896,exit_to,Lake Mead Boulevard,regular
137212896,highway,motorway_junction,regular
137212896,old_ref,45A,regular
137213575,highway,turning_circle,regular
137214187,power,tower,regular
137214189,power,tower,regular
137214196,power,tower,regular
137214207,power,tower,regular
137214209,power,tower,regular
137214216,power,tower,regular
137214847,ref,58,regular
137214847,exit_to,NV-604;Apex:Nellis AFB,regular
137214847,highway,motorway_junction,regular
137214903,highway,turning_circle,regular
137215572,highway,turning_circle,regular
137215903,power,tower,regular
137215906,power,tower,regular
137215913,power,tower,regular
137215917,power,tower,regular
137215930,source,Bing,regular
137215930,highway,traffic_signals,regular
137218000,highway,traffic_signals,regular
137218043,highway,turning_circle,regular
137218043,source,Bing,regular
137218055,highway,turning_circle,regular
137218055,source,Bing,regular
137218069,highway,turning_circle,regular
137218069,source,Bing,regular
137219315,highway,crossing,regular
137219315,crossing,uncontrolled,regular
